日付,カテゴリ,売上金額,注文件数,客単価
2023-01-01,ファッション,115405,14,8243
2023-01-01,食品,94781,15,6318
2023-01-01,家電,49521,13,3809
2023-01-01,美容・コスメ,38212,5,7642
2023-01-01,日用品,44123,6,7353
2023-01-02,ファッション,68385,8,8548
2023-01-02,食品,76765,18,4264
2023-01-02,家電,38836,9,4315
2023-01-02,美容・コスメ,35301,6,5883
2023-01-02,日用品,30693,6,5115
2023-01-03,ファッション,102442,27,3794
2023-01-03,食品,56018,11,5092
2023-01-03,家電,46734,6,7789
2023-01-03,美容・コスメ,32792,5,6558
2023-01-03,日用品,33774,10,3377
2023-01-04,ファッション,102194,26,3930
2023-01-04,食品,47297,6,7882
2023-01-04,家電,61410,8,7676
2023-01-04,美容・コスメ,35310,10,3531
2023-01-04,日用品,35537,6,5922
2023-01-05,ファッション,74229,13,5709
2023-01-05,食品,46120,6,7686
2023-01-05,家電,41052,6,6842
2023-01-05,美容・コスメ,35481,6,5913
2023-01-05,日用品,32896,8,4112
2023-01-06,ファッション,123048,17,7238
2023-01-06,食品,80876,10,8087
2023-01-06,家電,50819,6,8469
2023-01-06,美容・コスメ,30123,7,4303
2023-01-06,日用品,23268,5,4653
2023-01-07,ファッション,116464,26,4479
2023-01-07,食品,99610,20,4980
2023-01-07,家電,54198,9,6022
2023-01-07,美容・コスメ,40796,5,8159
2023-01-07,日用品,30980,3,10326
2023-01-08,ファッション,145185,36,4032
2023-01-08,食品,58515,8,7314
2023-01-08,家電,70144,10,7014
2023-01-08,美容・コスメ,60463,17,3556
2023-01-08,日用品,38067,10,3806
2023-01-09,ファッション,116914,19,6153
2023-01-09,食品,57506,17,3382
2023-01-09,家電,42556,9,4728
2023-01-09,美容・コスメ,45510,7,6501
2023-01-09,日用品,39434,7,5633
2023-01-10,ファッション,74088,11,6735
2023-01-10,食品,74014,12,6167
2023-01-10,家電,55803,10,5580
2023-01-10,美容・コスメ,40545,7,5792
2023-01-10,日用品,22888,6,3814
2023-01-11,ファッション,69010,11,6273
2023-01-11,食品,56871,10,5687
2023-01-11,家電,59737,14,4266
2023-01-11,美容・コスメ,37849,5,7569
2023-01-11,日用品,26792,7,3827
2023-01-12,ファッション,83889,22,3813
2023-01-12,食品,80500,11,7318
2023-01-12,家電,51842,7,7406
2023-01-12,美容・コスメ,47288,12,3940
2023-01-12,日用品,39537,6,6589
2023-01-13,ファッション,113708,15,7580
2023-01-13,食品,57011,16,3563
2023-01-13,家電,40164,7,5737
2023-01-13,美容・コスメ,47632,6,7938
2023-01-13,日用品,22533,4,5633
2023-01-14,ファッション,118615,28,4236
2023-01-14,食品,64223,13,4940
2023-01-14,家電,78982,17,4646
2023-01-14,美容・コスメ,52586,8,6573
2023-01-14,日用品,38196,4,9549
2023-01-15,ファッション,159428,37,4308
2023-01-15,食品,83062,18,4614
2023-01-15,家電,54344,17,3196
2023-01-15,美容・コスメ,55418,10,5541
2023-01-15,日用品,30404,6,5067
2023-01-16,ファッション,119516,28,4268
2023-01-16,食品,50363,9,5595
2023-01-16,家電,61986,14,4427
2023-01-16,美容・コスメ,44131,6,7355
2023-01-16,日用品,26962,4,6740
2023-01-17,ファッション,88384,14,6313
2023-01-17,食品,69127,12,5760
2023-01-17,家電,36200,5,7240
2023-01-17,美容・コスメ,35698,9,3966
2023-01-17,日用品,23182,3,7727
2023-01-18,ファッション,106227,34,3124
2023-01-18,食品,64464,15,4297
2023-01-18,家電,52180,13,4013
2023-01-18,美容・コスメ,44582,9,4953
2023-01-18,日用品,40385,10,4038
2023-01-19,ファッション,86845,24,3618
2023-01-19,食品,80308,10,8030
2023-01-19,家電,41028,6,6838
2023-01-19,美容・コスメ,47613,8,5951
2023-01-19,日用品,32569,7,4652
2023-01-20,ファッション,72562,9,8062
2023-01-20,食品,79376,12,6614
2023-01-20,家電,43364,9,4818
2023-01-20,美容・コスメ,45422,6,7570
2023-01-20,日用品,39432,5,7886
2023-01-21,ファッション,135435,39,3472
2023-01-21,食品,66308,8,8288
2023-01-21,家電,66384,21,3161
2023-01-21,美容・コスメ,39565,6,6594
2023-01-21,日用品,29246,7,4178
2023-01-22,ファッション,128449,19,6760
2023-01-22,食品,90785,22,4126
2023-01-22,家電,70343,16,4396
2023-01-22,美容・コスメ,46552,6,7758
2023-01-22,日用品,45334,6,7555
2023-01-23,ファッション,105078,17,6181
2023-01-23,食品,48397,10,4839
2023-01-23,家電,41237,9,4581
2023-01-23,美容・コスメ,51352,10,5135
2023-01-23,日用品,39527,6,6587
2023-01-24,ファッション,112981,20,5649
2023-01-24,食品,66953,12,5579
2023-01-24,家電,39222,5,7844
2023-01-24,美容・コスメ,34738,11,3158
2023-01-24,日用品,34793,8,4349
2023-01-25,ファッション,121370,15,8091
2023-01-25,食品,79930,16,4995
2023-01-25,家電,34045,4,8511
2023-01-25,美容・コスメ,38276,4,9569
2023-01-25,日用品,40901,5,8180
2023-01-26,ファッション,84160,17,4950
2023-01-26,食品,77483,16,4842
2023-01-26,家電,38481,6,6413
2023-01-26,美容・コスメ,50467,7,7209
2023-01-26,日用品,33345,9,3705
2023-01-27,ファッション,102624,12,8552
2023-01-27,食品,50179,8,6272
2023-01-27,家電,58868,8,7358
2023-01-27,美容・コスメ,44728,6,7454
2023-01-27,日用品,29302,6,4883
2023-01-28,ファッション,147964,20,7398
2023-01-28,食品,101524,13,7809
2023-01-28,家電,62824,11,5711
2023-01-28,美容・コスメ,61306,9,6811
2023-01-28,日用品,46641,6,7773
2023-01-29,ファッション,154003,32,4812
2023-01-29,食品,76989,22,3499
2023-01-29,家電,65330,20,3266
2023-01-29,美容・コスメ,50926,8,6365
2023-01-29,日用品,36272,6,6045
2023-01-30,ファッション,68956,21,3283
2023-01-30,食品,76387,15,5092
2023-01-30,家電,37259,6,6209
2023-01-30,美容・コスメ,46479,11,4225
2023-01-30,日用品,34359,10,3435
2023-01-31,ファッション,70176,12,5848
2023-01-31,食品,65560,10,6556
2023-01-31,家電,54511,6,9085
2023-01-31,美容・コスメ,40391,8,5048
2023-01-31,日用品,37667,8,4708
2023-02-01,ファッション,92484,27,3425
2023-02-01,食品,45773,5,9154
2023-02-01,家電,57676,8,7209
2023-02-01,美容・コスメ,37814,9,4201
2023-02-01,日用品,25403,5,5080
2023-02-02,ファッション,98835,15,6589
2023-02-02,食品,70151,15,4676
2023-02-02,家電,61100,9,6788
2023-02-02,美容・コスメ,41304,6,6884
2023-02-02,日用品,30456,7,4350
2023-02-03,ファッション,87704,12,7308
2023-02-03,食品,45352,12,3779
2023-02-03,家電,34924,10,3492
2023-02-03,美容・コスメ,48531,7,6933
2023-02-03,日用品,31504,9,3500
2023-02-04,ファッション,124172,23,5398
2023-02-04,食品,66886,12,5573
2023-02-04,家電,58600,9,6511
2023-02-04,美容・コスメ,56214,17,3306
2023-02-04,日用品,38470,6,6411
