日付,SKU,カテゴリ,販売数量,単価,割引率,広告費,プロモーション,曜日,月,売上金額,前週平均販売数量,前月平均販売数量
2025-04-01,SKU001,食品,36,17389,0,0,0,Tuesday,4,626004,0.0,0.0
2025-04-02,SKU001,食品,37,17389,10,0,0,Wednesday,4,579053,36.0,36.0
2025-04-03,SKU001,食品,36,17389,0,3715,0,Thursday,4,626004,36.5,36.5
2025-04-04,SKU001,食品,36,17389,0,0,0,Friday,4,626004,36.3,36.3
2025-04-05,SKU001,食品,47,17389,0,0,0,Saturday,4,817283,36.2,36.2
2025-04-06,SKU001,食品,49,17389,0,0,0,Sunday,4,852061,38.4,38.4
2025-04-07,SKU001,食品,34,17389,5,0,0,Monday,4,561664,40.2,40.2
2025-04-08,SKU001,食品,41,17389,0,11048,0,Tuesday,4,712949,39.3,39.3
2025-04-09,SKU001,食品,37,17389,0,1426,0,Wednesday,4,643393,40.0,39.5
2025-04-10,SKU001,食品,35,17389,0,0,0,Thursday,4,608615,40.0,39.2
2025-04-11,SKU001,食品,38,17389,0,0,0,Friday,4,660782,39.9,38.8
2025-04-12,SKU001,食品,55,17389,0,16465,0,Saturday,4,956395,40.1,38.7
2025-04-13,SKU001,食品,63,17389,0,0,0,Sunday,4,1095507,41.3,40.1
2025-04-14,SKU001,食品,36,17389,0,0,0,Monday,4,626004,43.3,41.8
2025-04-15,SKU001,食品,29,17389,0,0,0,Tuesday,4,504281,43.6,41.4
2025-04-16,SKU001,食品,39,17389,0,236,0,Wednesday,4,678171,41.9,40.6
2025-04-17,SKU001,食品,36,17389,0,2509,0,Thursday,4,626004,42.1,40.5
2025-04-18,SKU001,食品,41,17389,0,0,0,Friday,4,712949,42.3,40.2
2025-04-19,SKU001,食品,50,17389,0,0,0,Saturday,4,869450,42.7,40.3
2025-04-20,SKU001,食品,45,17389,0,0,0,Sunday,4,782505,42.0,40.8
2025-04-21,SKU001,食品,32,17389,0,0,0,Monday,4,556448,39.4,41.0
2025-04-22,SKU001,食品,38,17389,0,0,0,Tuesday,4,660782,38.9,40.6
2025-04-23,SKU001,食品,54,17389,0,534,1,Wednesday,4,939006,40.1,40.5
2025-04-24,SKU001,食品,34,17389,0,0,0,Thursday,4,591226,42.3,41.0
2025-04-25,SKU001,食品,39,17389,0,4913,0,Friday,4,678171,42.0,40.8
2025-04-26,SKU001,食品,59,17389,20,0,0,Saturday,4,820760,41.7,40.7
2025-04-27,SKU001,食品,34,17389,0,0,0,Sunday,4,591226,43.0,41.4
2025-04-28,SKU001,食品,30,17389,0,135,0,Monday,4,521670,41.4,41.1
2025-04-29,SKU001,食品,45,17389,0,3615,0,Tuesday,4,782505,41.1,40.7
2025-04-30,SKU001,食品,42,17389,0,0,0,Wednesday,4,730338,42.1,40.9
2025-05-01,SKU001,食品,43,17389,0,0,0,Thursday,5,747727,40.4,40.9
2025-05-02,SKU001,食品,39,17389,5,637,0,Friday,5,644262,41.7,41.1
2025-05-03,SKU001,食品,53,17389,0,0,0,Saturday,5,921617,41.7,41.2
2025-05-04,SKU001,食品,61,17389,15,343,0,Sunday,5,901619,40.9,41.8
2025-05-05,SKU001,食品,48,17389,15,0,0,Monday,5,709471,44.7,42.6
2025-05-06,SKU001,食品,39,17389,15,0,0,Tuesday,5,576445,47.3,42.6
2025-05-07,SKU001,食品,24,17389,5,0,0,Wednesday,5,396469,46.4,42.3
2025-05-08,SKU001,食品,37,17389,5,0,0,Thursday,5,611223,43.9,42.0
2025-05-09,SKU001,食品,56,17389,0,176,1,Friday,5,973784,43.0,41.8
2025-05-10,SKU001,食品,50,17389,10,770,0,Saturday,5,782505,45.4,42.5
2025-05-11,SKU001,食品,48,17389,0,1763,0,Sunday,5,834672,45.0,43.0
2025-05-12,SKU001,食品,35,17389,10,414,0,Monday,5,547753,43.1,43.3
2025-05-13,SKU001,食品,33,17389,0,560,0,Tuesday,5,573837,41.3,42.6
2025-05-14,SKU001,食品,37,17389,0,0,0,Wednesday,5,643393,40.4,41.6
2025-05-15,SKU001,食品,59,17389,0,1490,1,Thursday,5,1025951,42.3,41.7
2025-05-16,SKU001,食品,40,17389,0,1848,0,Friday,5,695560,45.4,42.7
2025-05-17,SKU001,食品,57,17389,15,0,0,Saturday,5,842497,43.1,42.7
2025-05-18,SKU001,食品,41,17389,0,1111,0,Sunday,5,712949,44.1,43.4
2025-05-19,SKU001,食品,31,17389,0,0,0,Monday,5,539059,43.1,43.4
2025-05-20,SKU001,食品,39,17389,15,0,0,Tuesday,5,576445,42.6,42.8
2025-05-21,SKU001,食品,85,17389,30,0,1,Wednesday,5,1034645,43.4,42.6
2025-05-22,SKU001,食品,33,17389,0,0,0,Thursday,5,573837,50.3,44.3
2025-05-23,SKU001,食品,30,17389,0,0,0,Friday,5,521670,46.6,44.2
2025-05-24,SKU001,食品,48,17389,0,0,0,Saturday,5,834672,45.1,43.4
2025-05-25,SKU001,食品,46,17389,0,0,0,Sunday,5,799894,43.9,43.8
2025-05-26,SKU001,食品,29,17389,0,0,0,Monday,5,504281,44.6,44.1
2025-05-27,SKU001,食品,35,17389,0,1160,0,Tuesday,5,608615,44.3,43.1
2025-05-28,SKU001,食品,44,17389,0,0,0,Wednesday,5,765116,43.7,43.1
2025-05-29,SKU001,食品,38,17389,10,0,0,Thursday,5,594703,37.9,43.6
2025-05-30,SKU001,食品,46,17389,10,0,0,Friday,5,719904,38.6,43.3
2025-05-31,SKU001,食品,61,17389,0,1036,1,Saturday,5,1060729,40.9,43.5
2025-06-01,SKU001,食品,35,17389,0,0,0,Sunday,6,608615,42.7,44.1
2025-06-02,SKU001,食品,29,17389,0,0,0,Monday,6,504281,41.1,43.9
2025-06-03,SKU001,食品,50,17389,0,0,1,Tuesday,6,869450,41.1,43.1
2025-06-04,SKU001,食品,25,17389,0,0,0,Wednesday,6,434725,43.3,42.8
