年月,売上高,売上原価,人件費,地代家賃,通信費,広告宣伝費,消耗品費,交際費,旅費交通費,水道光熱費,支払利息,雑費,売上総利益,販売管理費計,営業利益,経常利益
2024年04月,1041,640,195,50,8,37,5,10,8,7,3,3,401,323,78,75
2024年05月,1241,666,195,50,7,33,5,6,12,7,3,5,575,320,255,252
2024年06月,1176,687,196,50,7,25,5,13,12,6,3,6,489,320,169,166
2024年07月,1323,717,195,50,7,26,5,9,10,4,3,4,606,310,296,293
2024年08月,1159,632,200,50,7,27,5,7,12,4,3,4,527,316,211,208
2024年09月,960,611,202,50,8,47,5,9,15,4,3,4,349,344,5,2
2024年10月,900,567,198,50,8,32,5,3,6,6,3,3,333,311,22,19
2024年11月,961,636,197,50,8,27,6,5,5,7,3,4,325,309,16,13
2024年12月,1236,786,202,50,7,28,4,8,15,6,3,4,450,324,126,123
2025年01月,1614,879,193,50,8,32,5,11,11,4,3,3,735,317,418,415
2025年02月,1410,799,206,50,7,39,5,8,16,5,3,4,611,340,271,268
2025年03月,1523,867,260,50,8,32,5,11,15,6,3,4,656,391,265,262
